strategy,run_id,map_seed,timestep,coverage,total_distance,overlap_percentage
random,5,5,396,4.0,1980,99.20716720843575
random,5,5,397,4.0,1985,99.20940804427315
random,5,5,398,4.0,1990,99.21166732361057
random,5,5,399,4.0,1995,99.21389827843723
random,5,5,400,4.0,2000,99.2161166418437
random,5,5,401,4.0,2005,99.2183225201282
random,5,5,402,4.04,2010,99.21272117857978
random,5,5,403,4.07,2015,99.20910981131343
random,5,5,404,4.12,2020,99.20164321978065
random,5,5,405,4.18,2025,99.19228613939828
random,5,5,406,4.22,2030,99.18681953945466
random,5,5,407,4.22,2035,99.18906973615942
random,5,5,408,4.26,2040,99.18364218231991
random,5,5,409,4.2700000000000005,2045,99.18397767882738
random,5,5,410,4.32,2050,99.1766880753178
random,5,5,411,4.33,2055,99.1769625546474
random,5,5,412,4.34,2060,99.1771575913848
random,5,5,413,4.3999999999999995,2065,99.1678959113431
random,5,5,414,4.3999999999999995,2070,99.16999924545385
random,5,5,415,4.42,2075,99.16832875475107
random,5,5,416,4.42,2080,99.1704982640518
random,5,5,417,4.43,2085,99.17070705179805
random,5,5,418,4.43,2090,99.17278210371035
random,5,5,419,4.44,2095,99.17298414886285
random,5,5,420,4.44,2100,99.17504319875141
random,5,5,421,4.46,2105,99.17346182357302
random,5,5,422,4.51,2110,99.16634318564114
random,5,5,423,4.54,2115,99.16302564386189
random,5,5,424,4.54,2120,99.16516494428303
random,5,5,425,4.590000000000001,2125,99.1581225582803
random,5,5,426,4.590000000000001,2130,99.1602634467618
random,5,5,427,4.590000000000001,2135,99.16231704201189
random,5,5,428,4.590000000000001,2140,99.16436061753569
random,5,5,429,4.65,2145,99.1554974392503
random,5,5,430,4.65,2150,99.15754764838032
random,5,5,431,4.65,2155,99.15958792698355
random,5,5,432,4.6899999999999995,2160,99.15440646184913
random,5,5,433,4.74,2165,99.14752801107853
random,5,5,434,4.74,2170,99.14973003031552
random,5,5,435,4.74,2175,99.15192070279652
random,5,5,436,4.74,2180,99.15410011599893
random,5,5,437,4.74,2185,99.15626835650332
random,5,5,438,4.75,2190,99.15665003639721
random,5,5,439,4.75,2195,99.15880071546212
random,5,5,440,4.75,2200,99.1609404532688
random,5,5,441,4.75,2205,99.1630693330984
random,5,5,442,4.760000000000001,2210,99.16342993725723
random,5,5,443,4.78,2215,99.16205034710049
random,5,5,444,4.78,2220,99.16417492874504
random,5,5,445,4.78,2225,99.16628876408414
random,5,5,446,4.78,2230,99.16839193444562
random,5,5,447,4.78,2235,99.17048452033875
random,5,5,448,4.78,2240,99.17255227807783
random,5,5,449,4.78,2245,99.17453848412109
random,5,5,450,4.81,2250,99.17134686283292
random,5,5,451,4.8500000000000005,2255,99.1664518346653
random,5,5,452,4.859999999999999,2260,99.16665237744131
random,5,5,453,4.859999999999999,2265,99.16856277693189
random,5,5,454,4.859999999999999,2270,99.1704644375032
random,5,5,455,4.859999999999999,2275,99.17235741898128
random,5,5,456,4.859999999999999,2280,99.17424178064735
random,5,5,457,4.859999999999999,2285,99.17611758124396
random,5,5,458,4.859999999999999,2290,99.1779848789811
random,5,5,459,4.859999999999999,2295,99.17991292902704
random,5,5,460,4.859999999999999,2300,99.18183195569098
random,5,5,461,4.859999999999999,2305,99.18381056343941
random,5,5,462,4.859999999999999,2310,99.1857796243864
random,5,5,463,4.87,2315,99.18608149212822
random,5,5,464,4.88,2320,99.18638190033178
random,5,5,465,4.88,2325,99.18834408888297
random,5,5,466,4.88,2330,99.19029683585259
random,5,5,467,4.91,2335,99.18727447280432
random,5,5,468,4.95,2340,99.18261530078105
random,5,5,469,4.97,2345,99.18127306273063
random,5,5,470,4.97,2350,99.18322404640996
random,5,5,471,4.97,2355,99.18516575400858
random,5,5,472,4.99,2360,99.18382701712491
random,5,5,473,5.0,2365,99.18412636250898
random,5,5,474,5.0,2370,99.18605219033356
random,5,5,475,5.01,2375,99.18634488582843
random,5,5,476,5.01,2380,99.18825645263209
random,5,5,477,5.01,2385,99.19015905858011
random,5,5,478,5.01,2390,99.19205276653389
random,5,5,479,5.01,2395,99.19393763876823
random,5,5,480,5.029999999999999,2400,99.19260341257484
random,5,5,481,5.07,2405,99.18807251297163
random,5,5,482,5.11,2410,99.18356260684786
random,5,5,483,5.11,2415,99.18544967641152
random,5,5,484,5.11,2420,99.18732804274877
random,5,5,485,5.11,2425,99.18919776593043
random,5,5,486,5.11,2430,99.19105890547578
random,5,5,487,5.11,2435,99.19291152035885
random,5,5,488,5.11,2440,99.19475566901464
random,5,5,489,5.13,2445,99.19344695302182
random,5,5,490,5.1499999999999995,2450,99.19214419049712
random,5,5,491,5.18,2455,99.18928224872445
random,5,5,492,5.2,2460,99.18799481565921
