timestep,alpha,beta,gamma,delta
315,-0.5789745450019836,0.18507817387580872,0.6462619304656982,-1.2792319059371948
316,2.0164387226104736,-1.5665010213851929,-0.6363238096237183,-1.1681222915649414
317,0.29089513421058655,-0.7382022738456726,0.13433173298835754,0.04378315806388855
318,1.122346043586731,-0.007776609156280756,-0.31544792652130127,1.163927674293518
319,-0.4487343430519104,-1.5363538265228271,-0.6770634651184082,-2.4687681198120117
320,2.1461877822875977,-1.1760165691375732,-0.9702589511871338,0.6602376103401184
321,-0.17483896017074585,-0.5626462697982788,0.4970614016056061,0.36060747504234314
322,0.7570555806159973,0.5276923179626465,1.3649095296859741,-0.04593376815319061
323,1.8425313234329224,0.19441764056682587,0.22513554990291595,0.21546831727027893
324,-1.1070107221603394,1.3345898389816284,0.3537124693393707,-0.8489657044410706
325,-0.7406325936317444,-0.40716174244880676,-1.206731915473938,0.5323018431663513
326,0.9114316701889038,-2.086158514022827,-0.24828681349754333,1.6038050651550293
327,-1.4413583278656006,-1.2302632331848145,-0.6663364171981812,0.13905027508735657
328,-0.6153978109359741,-0.6253226399421692,-0.04518575593829155,0.5376257300376892
329,0.03756667301058769,0.5286388993263245,0.4764992594718933,-0.9990959763526917
330,-0.30931252241134644,1.5976548194885254,-0.8007289171218872,1.0677576065063477
331,1.3534977436065674,0.4307457208633423,0.6668914556503296,0.17966412007808685
332,-0.1793198138475418,0.7554817199707031,-0.08124521374702454,-0.769332230091095
333,2.121647357940674,0.2922564148902893,1.8336567878723145,0.6141042709350586
334,-0.3736083507537842,0.6072123646736145,-2.1434011459350586,-0.32170090079307556
335,-1.7486082315444946,-0.7924309968948364,-1.2734054327011108,0.8158529996871948
336,-0.2603713572025299,0.23162303864955902,-1.404899001121521,0.6694393754005432
337,-0.6963111162185669,0.03586540371179581,-1.3288992643356323,0.5482729077339172
338,-1.0149928331375122,0.5619108080863953,-0.5675966739654541,-1.3844027519226074
339,-0.5178022980690002,1.7234135866165161,-0.8112495541572571,-0.2857373058795929
340,0.7361212372779846,-0.27352818846702576,-0.7748236656188965,0.2667583227157593
341,-1.5643844604492188,0.22139804065227509,1.2180523872375488,-0.2445102035999298
342,-1.102361798286438,-0.36786994338035583,-0.3823222517967224,-1.088234782218933
343,-0.4280344545841217,-0.017973944544792175,-0.9476096630096436,0.20656222105026245
344,-0.15354275703430176,-1.1732531785964966,0.19729402661323547,-0.9337597489356995
345,-0.9003384709358215,-0.7956944704055786,-2.0487217903137207,0.0012587085366249084
346,-0.3758188784122467,-1.7725777626037598,1.760195255279541,-1.6599467992782593
347,-0.15485677123069763,-0.9585269689559937,-0.1712644398212433,1.6624305248260498
348,-0.2884736955165863,0.7916741967201233,-0.0320078544318676,-1.3932015895843506
349,0.49650970101356506,-2.296180486679077,-0.03403729945421219,-0.8995104432106018
350,0.3922140896320343,-0.7628881335258484,-0.2830857038497925,-0.283865362405777
351,-1.026280164718628,0.9810338616371155,0.8871974945068359,-0.237430602312088
